City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Canning,IN,2022-12-07 20:59:43,22.3189,88.6714,64.42,45,100,8.01
241,Vao,NC,2022-12-07 20:59:43,-22.6667,167.4833,75.56,83,73,7.67
242,Natal,BR,2022-12-07 20:58:18,-5.795,-35.2094,81.25,74,20,16.11
243,Lieksa,FI,2022-12-07 20:59:44,63.3167,30.0167,23.32,94,100,11.72
244,Svetlyy,RU,2022-12-07 20:59:44,54.675,20.1347,33.96,86,100,23.53
245,Boyolangu,ID,2022-12-07 20:59:45,-8.1181,111.8935,74.82,89,93,1.63
246,Leningradskiy,RU,2022-12-07 20:59:45,69.3833,178.4167,-4.88,97,100,9.17
247,Adrar,MR,2022-12-07 20:59:45,20.5022,-10.0711,79.9,33,87,0.94
248,Comodoro Rivadavia,AR,2022-12-07 20:59:46,-45.8667,-67.5,57.06,82,100,10.36
249,Menomonie,US,2022-12-07 20:59:46,44.8755,-91.9193,24.28,80,0,8.05
250,Porto Novo,BJ,2022-12-07 20:59:46,6.4965,2.6036,82.22,80,94,6.11
251,Aswan,EG,2022-12-07 20:59:47,24.0934,32.907,61.9,39,0,4.61
252,Husavik,IS,2022-12-07 20:59:47,66.0449,-17.3389,25.66,68,100,8.57
253,Akyab,MM,2022-12-07 20:59:48,20.15,92.9,70.34,76,64,5.68
254,Victoria,HK,2022-12-07 20:56:50,22.2855,114.1577,65.32,80,77,8.01
255,Bayir,TR,2022-12-07 20:59:48,37.2687,28.2167,43.32,91,32,3.22
256,Ruhengeri,RW,2022-12-07 20:59:48,-1.4998,29.635,56.3,95,69,0.74
257,Yulara,AU,2022-12-07 20:59:49,-25.2406,130.9889,74.12,30,94,21.03
258,Vangaindrano,MG,2022-12-07 20:59:49,-23.35,47.6,73.44,91,5,5.97
259,Shakiso,ET,2022-12-07 20:59:50,5.75,38.9167,57.81,65,94,3.49
260,Vila Franca Do Campo,PT,2022-12-07 20:59:50,37.7167,-25.4333,59.41,83,95,25.61
261,Avera,US,2022-12-07 20:59:50,33.194,-82.5271,74.55,64,54,7.47
262,Kyaikkami,MM,2022-12-07 20:59:51,16.08,97.5675,77.79,84,58,8.5
263,Sidney,AU,2022-12-07 20:55:56,-33.8679,151.2073,69.37,43,20,27.63
264,Polson,US,2022-12-07 20:59:52,47.6936,-114.1632,36.48,85,91,2.8
265,Chernyshevskiy,RU,2022-12-07 20:57:08,63.0128,112.4714,-4.65,98,100,1.25
266,West Bay,KY,2022-12-07 20:59:52,19.3667,-81.4167,84.27,68,40,14.97
267,Barstow,US,2022-12-07 20:59:52,34.8986,-117.0228,54.59,40,0,12.12
268,Oranjestad,AW,2022-12-07 20:59:53,12.524,-70.027,82.9,72,20,13.8
269,Rio Grande,BR,2022-12-07 20:59:53,-32.035,-52.0986,84.31,73,0,12.24
270,Jumla,NP,2022-12-07 20:59:54,29.2747,82.1838,38.44,26,0,5.12
271,Port Hedland,AU,2022-12-07 20:59:54,-20.3167,118.5667,75.25,78,2,10.36
272,Norman Wells,CA,2022-12-07 20:59:54,65.282,-126.8329,-30.96,68,20,5.75
273,Fort Nelson,CA,2022-12-07 20:59:55,58.8053,-122.7002,-2.61,78,75,2.3
274,Swan Hill,AU,2022-12-07 21:00:55,-35.3378,143.5544,52.9,50,9,13.33
275,Sambava,MG,2022-12-07 21:00:56,-14.2667,50.1667,74.26,87,1,10.58
276,Santiago,CL,2022-12-07 20:58:28,-33.4569,-70.6483,89.55,18,0,23.02
277,Tynda,RU,2022-12-07 21:00:57,55.1667,124.7167,-12.89,97,96,3.02
278,Seoul,KR,2022-12-07 20:58:34,37.5683,126.9778,36.84,90,0,2.3
279,Auki,SB,2022-12-07 21:00:57,-8.7676,160.7034,80.26,82,95,2.46
280,Shache,CN,2022-12-07 21:00:58,38.4167,77.2406,22.98,37,75,4.34
281,Meulaboh,ID,2022-12-07 21:00:58,4.1363,96.1285,74.66,90,100,5.61
282,Marrakesh,MA,2022-12-07 20:57:00,31.6315,-8.0083,64.47,55,40,5.75
283,Kharitonovo,RU,2022-12-07 21:00:59,61.4009,47.4978,18.93,71,100,8.9
284,Fayaoue,NC,2022-12-07 21:01:00,-20.65,166.5333,76.21,90,100,7.4
285,Mattru,SL,2022-12-07 21:01:00,7.6244,-11.8332,76.44,92,81,3.06
286,Saldanha,ZA,2022-12-07 21:01:01,-33.0117,17.9442,63.14,90,28,12.44
287,Ojinaga,MX,2022-12-07 21:01:02,29.5667,-104.4167,80.56,57,0,4.61
288,Wyndham,US,2022-12-07 21:01:06,37.6985,-77.6125,63.23,88,100,6.78
289,Vega De Alatorre,MX,2022-12-07 21:01:10,20.0333,-96.6333,80.19,68,0,10.29
290,Kysyl-Syr,RU,2022-12-07 21:01:12,63.8986,122.7617,-23.64,97,100,5.35
